Sylvie,4,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,Children.,Short,263,City Critters Inc.,14,No
Rubie,0,0,Young,Domestic Short Hair Mix,Buff / Tan / Fawn,Medium,Female,"Friendly, Affectionate, Playful, Curious, Independent, Quiet, Dignified",,Yes,Spayed / neutered.,"Other cats, dogs, children, other animals. Note: Older Children.",,,Short,109,Alleykattz Rescue,14,No
Felix,0,0,Kitten,Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Male,"Friendly, Affectionate, Playful, Gentle, Curious, Funny, Loves kisses",,Yes,Vaccinations up to date.,"Other cats, children.",,,Short,149,Alleykattz Rescue,14,No
Gracie,0,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Female,"Friendly, Affectionate, Playful, Curious, Funny, Loves kisses",,Yes,Vaccinations up to date.,"Other cats, children.",,,Short,103,Alleykattz Rescue,14,No
Aaron,0,0,Young,Domestic Short Hair Mix,Tabby (Tiger Striped),Medium,Male,"Friendly, Playful, Gentle, Curious, Independent, Funny, Dignified",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,123,Alleykattz Rescue,14,No
Emily,0,0,Young,Domestic Short Hair Mix,Tabby (Tiger Striped),Medium,Female,"Friendly, Affectionate, Gentle, Playful, Smart, Curious",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,118,Alleykattz Rescue,14,No
Sampson,0,0,Kitten,Domestic Short Hair Mix,White,Medium,Male,"Friendly, Affectionate, Playful, Curious, Smart, Funny, Loves kisses",,Yes,Vaccinations up to date.,"Other cats, children.",,,Short,70,Alleykattz Rescue,14,No
Nico and Niki,2,0,Kitten,Domestic Short Hair Mix,Tabby (Tiger Striped),Medium,Male,"Friendly, Affectionate, Gentle, Playful, Curious, Loves kisses, Funny",,Yes,Vaccinations up to date.,"Other cats, children.",,,48,Alleykattz Rescue,14,No
Daisy,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,"Friendly, Affectionate",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,81,S.A.R.A. Inc.,14,No
Daffney,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"Friendly, Playful",,Yes,Vaccinations up to date.,Other cats.,,,Short,119,S.A.R.A. Inc.,14,No
Piper,2,0,Kitten,Domestic Short Hair,Black,Small,Female,"Gentle, Quiet",,Yes,Spayed / neutered.,Other cats.,,Children.,Short,155,Willow Rescue Foundation Inc.,14,No
WOLFY,2,0,Kitten,Domestic Long Hair,Black,Medium,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Long,34,Friends of Homeless Animals,14,No
MAGNOLIA,2,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Female,"Friendly, Gentle, Playful, Smart, Independent",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,44,Friends of Homeless Animals,14,No
SAMMY,2,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Funny, Athletic, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,33,Friends of Homeless Animals,14,No
Tara & Tilly,3,0,Young,American Shorthair,Tabby (Gray / Blue / Silver),Small,Female,"Friendly, Affectionate, Loyal, Playful, Independent, Quiet",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,61,Lend-a-Paw Inc.,14,No
Ben & Jerry,0,0,Kitten,Domestic Long Hair,Black,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Long,48,Lend-a-Paw Inc.,14,No
Pixie,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,62,CLAWS,14,No
Max,4,0,Kitten,Domestic Short Hair,Black,Medium,Male,"Affectionate, Playful, Friendly",,Yes,"Vaccinations up to date, spayed / neutered.",,,,101,CLAWS,14,No
Squid & Gracie,2,1,Young,Domestic Short Hair,Tortoiseshell,Medium,Female,"Affectionate, Playful, Smart, Funny",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,214,CLAWS,14,No
"Freedom, Banner, Spangle and Patriot",4,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"Friendly, Playful",,Yes,Vaccinations up to date.,Other cats.,,,Short,109,CLAWS,14,No
Bambi and Sori,6,0,Kitten,Domestic Short Hair,White,Medium,Male,"Affectionate, Gentle, Playful",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,86,CLAWS,14,No
Sonny,2,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,Vaccinations up to date.,,$125.00,,Short,124,CLAWS,14,No
Ivy,2,0,Kitten,Domestic Short Hair,,Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,32,Rescue Haven Foundation,14,No
Snow White,2,0,Kitten,Domestic Short Hair,Orange & White,Medium,Female,"Curious, Friendly, Playful",,Yes,Vaccinations up to date.,"Other cats, children.",,,Short,125,Angel Pets Animal Welfare Society Inc.,14,No
Piper,5,0,Kitten,Domestic Short Hair,Black,Medium,Female,"Gentle, Friendly, Affectionate, Loves kisses",,Yes,Vaccinations up to date.,Other cats.,,,Short,171,Angel Pets Animal Welfare Society Inc.,14,No
Cecelia,4,0,Kitten,Domestic Short Hair,Gray & White,Medium,Female,"Playful, Friendly, Affectionate",,Yes,Vaccinations up to date.,Other cats.,,,Short,184,Angel Pets Animal Welfare Society Inc.,14,No
Rapunzel,0,0,Kitten,Domestic Short Hair,Orange & White,Medium,Female,"Quiet, Gentle, Playful",,Yes,Vaccinations up to date.,"Other cats, children.",,,Short,128,Angel Pets Animal Welfare Society Inc.,14,No
Prince Charming,4,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,"Curious, Friendly, Playful",,Yes,Vaccinations up to date.,"Other cats, children.",,,Short,124,Angel Pets Animal Welfare Society Inc.,14,No
Elsa,5,0,Kitten,Domestic Short Hair,Orange / Red,Medium,Female,"Friendly, Affectionate, Playful, Curious",,Yes,Vaccinations up to date.,"Other cats, children.",,,Short,122,Angel Pets Animal Welfare Society Inc.,14,No
Aurora,5,0,Kitten,Domestic Medium Hair,Tortoiseshell,Medium,Female,"Friendly, Gentle, Playful",,Yes,Vaccinations up to date.,"Other cats, children.",,,Medium,128,Angel Pets Animal Welfare Society Inc.,14,No
Watts and Jagger,3,0,Kitten,American Shorthair,Black,Small,Male,,,Yes,,,,,93,Caring About The Strays (C.A.T.S.) Inc.,14,No
Max Bold,3,0,Young,Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Male,,,Yes,,Other cats.,,,27,Mama Chris Animal Rescue Inc.,14,No
Abetty,2,0,Young,Domestic Short Hair,Black,Medium,Female,,,Yes,,Other cats.,,,24,Mama Chris Animal Rescue Inc.,14,No
Ghost,0,0,Senior,Domestic Short Hair,White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,37,Humane Society of Westchester at New Rochelle,14,No
Courtesy LIsting,0,0,Adult,Domestic Short Hair,Dilute Tortoiseshell,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,79,Humane Society of Westchester at New Rochelle,14,No
Clarence,0,0,Kitten,Domestic Short Hair,,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",,,55,Humane Society of Westchester at New Rochelle,14,No
Howard,2,0,Kitten,Domestic Short Hair,Black,Small,Male,,,Yes,Vaccinations up to date.,"Other cats, dogs.",,,21,Humane Society of Westchester at New Rochelle,14,No
Shadow,0,0,Young,Domestic Short Hair,Black,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,38,Humane Society of Westchester at New Rochelle,14,No
La Leche,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,51,Humane Society of Westchester at New Rochelle,14,No
Mango,0,0,Young,Domestic Short Hair,Orange & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,59,Humane Society of Westchester at New Rochelle,14,No
Georgio,0,0,Young,Domestic Short Hair,Black & White / Tuxedo,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,35,Humane Society of Westchester at New Rochelle,14,No
Miss Misstoffelees,6,0,Young,Domestic Short Hair,Black,Medium,Female,", Affectionate, Gentle, Playful, Friendly, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,"Dogs, children.",Short,364,AdvoCat Rescue,14,No
Fries & Mash - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Playful, Gentle, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229,AdvoCat Rescue,14,No
Mash & Fries - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Playful, Gentle, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229,AdvoCat Rescue,14,No
NJ - Latte,4,0,Kitten,Maine Coon & Domestic Long Hair Mix,Torbie,Medium,Female,"Affectionate, Playful, Independent, Curious, Funny, Quiet, Smart",,Yes,Vaccinations up to date.,Other cats.,,Children.,Long,169,East Coast Maine Coon Rescue,14,No
Cooper,6,0,Young,Domestic Short Hair,Gray & White,Large,Male,"Friendly, Affectionate, Playful, Smart, Funny, Independent",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,"Dogs, children.",170,Posh Pets Rescue,14,No
PA - Cinder,3,0,Kitten,Domestic Short Hair,Black,Small,Male,"Funny, Curious, Playful, Friendly",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",,Children.,Short,146,East Coast Maine Coon Rescue,14,No
Lola,2,0,Adult,Torbie,Torbie,Medium,Female,"Friendly, Affectionate, Playful",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,63,Cat Assistance Inc.,14,No
Timmy,2,0,Kitten,Tabby,Orange & White,Small,Male,"Friendly, Affectionate, Gentle, Playful, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Medium,24,Pequannock Animal Shelter,14,No
James,0,0,Kitten,Domestic Short Hair,Orange & White,Large,Male,"Friendly, Affectionate, Playful",,Yes,Vaccinations up to date.,Other cats.,,,Short,44,S.A.R.A. Inc.,14,No
Jesse,0,0,Kitten,Domestic Short Hair,Orange & White,Large,Male,"Friendly, Affectionate, Playful",,Yes,Vaccinations up to date.,Other cats.,,,Short,44,S.A.R.A. Inc.,14,No
Frank,2,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Large,Male,"Friendly, Affectionate, Playful",,Yes,Vaccinations up to date.,Other cats.,,,Short,44,S.A.R.A. Inc.,14,No
Balboa,6,0,Senior,Domestic Short Hair,Black & White / Tuxedo,Large,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,Other cats.,Short,132,S.A.R.A. Inc.,14,No
Rhysand,2,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Playful, Independent, Funny, Athletic",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$200.00,,Short,120,Animal Rescue Force,14,No
Feyre,3,0,Kitten,Domestic Short Hair & Torbie Mix,Torbie,Medium,Female,"Friendly, Playful",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$200.00,,Short,96,Animal Rescue Force,14,No
Asriel,3,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Playful",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$200.00,,Short,96,Animal Rescue Force,14,No
Espresso,0,0,Young,Domestic Short Hair,Black,Medium,Male,,,Yes,Vaccinations up to date.,"Other cats, children.",$200.00,,Short,82,Animal Rescue Force,14,No
Tessa,0,0,Young,Maine Coon,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$120.00,,Long,94,Animal Rescue Force,14,No
Mo,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,97,Animal Rescue Force,14,No
Miney,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,97,Animal Rescue Force,14,No
Meenie,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,97,Animal Rescue Force,14,No
Eenie,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,97,Animal Rescue Force,14,No
Malibu,2,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Male,,,Yes,Vaccinations up to date.,"Other cats, dogs, children.",$200.00,,Short,86,Animal Rescue Force,14,No
Noodles,0,0,Adult,Domestic Short Hair & Calico Mix,Calico,Medium,Female,"Friendly, Affectionate, Playful",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$120.00,,Short,98,Animal Rescue Force,14,No
Sage & Sinatra,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Female,,,Yes,Vaccinations up to date.,,,,Short,47,"All About Cats Rescue, Inc",14,No
Mercedes,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Female,,,Yes,Vaccinations up to date.,,,,32,"All About Cats Rescue, Inc",14,No
Bowen,0,0,Kitten,Domestic Short Hair,Smoke,Small,Male,,,Yes,Vaccinations up to date.,,,,Short,32,"All About Cats Rescue, Inc",14,No
Beauty,2,0,Adult,Domestic Short Hair,Black,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,32,"All About Cats Rescue, Inc",14,No
Bacall,0,0,Kitten,Domestic Short Hair,Black,Small,Male,,,Yes,Vaccinations up to date.,,,,Short,32,"All About Cats Rescue, Inc",14,No
Rosie,0,0,Kitten,Domestic Medium Hair,Black & White / Tuxedo,Small,Female,,,Yes,Vaccinations up to date.,,,,Medium,32,"All About Cats Rescue, Inc",14,No
Rocky,0,0,Kitten,Domestic Medium Hair,Tabby (Buff / Tan / Fawn),Small,Male,,,Yes,Vaccinations up to date.,,,,Medium,32,"All About Cats Rescue, Inc",14,No
Bacall,0,0,Kitten,Domestic Short Hair,Black,Small,Male,,,Yes,Vaccinations up to date.,,,,Short,32,"All About Cats Rescue, Inc",14,No
Rosie,0,0,Kitten,Domestic Medium Hair,Black & White / Tuxedo,Small,Female,,,Yes,Vaccinations up to date.,,,,Medium,32,"All About Cats Rescue, Inc",14,No
Rocky,0,0,Kitten,Domestic Medium Hair,Tabby (Buff / Tan / Fawn),Small,Male,,,Yes,Vaccinations up to date.,,,,Medium,32,"All About Cats Rescue, Inc",14,No
Reese,0,0,Kitten,Domestic Medium Hair,Black,Small,Female,,,Yes,Vaccinations up to date.,,,,32,"All About Cats Rescue, Inc",14,No
Regan,0,0,Kitten,Domestic Medium Hair,Tabby (Buff / Tan / Fawn),Small,Female,,,Yes,Vaccinations up to date.,,,,32,"All About Cats Rescue, Inc",14,No
Roxanne,2,0,Kitten,Domestic Medium Hair,Dilute Calico,Small,Female,,,Yes,Vaccinations up to date.,,,,Medium,32,"All About Cats Rescue, Inc",14,No
Brent,6,0,Kitten,Domestic Short Hair Mix,Black,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Had 1 eye surgically removed on 09/03/2021.",,,,114,Pets4Luv Foundation,14,No
Lance,0,0,Adult,Domestic Short Hair Mix,Orange & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,131,Pets4Luv Foundation,14,No
Gizmo,3,0,Kitten,Domestic Short Hair,Gray & White,Medium,Male,,,Yes,Vaccinations up to date.,,,,Short,86,Bobbi & the Strays,14,No
STRIPER - A Bit of a Scaredy Cat!,0,0,Kitten,Tabby & Domestic Short Hair Mix,Tabby (Brown / Chocolate),Small,Male,"Friendly, Gentle, Loyal, Smart, Curious, Independent, Quiet, Dignified",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$100.00,,Short,200,Edison Municipal Animal Shelter,14,No
SPOT - Lovely Kitty,0,0,Kitten,Domestic Short Hair,Tabby (Tiger Striped),Small,Male,"Friendly, Curious, Independent, Gentle, Quiet, Dignified, Couch potato",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$100.00,,Short,194,Edison Municipal Animal Shelter,14,No
CHEESE IT - Very Playful!,0,0,Kitten,Domestic Short Hair & Tuxedo Mix,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Brave, Curious, Independent, Athletic, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",$99.98,,Short,198,Edison Municipal Animal Shelter,14,No
RUFFLES - Very Outgoing Girl!,0,0,Young,Domestic Short Hair,Black,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$100.00,,Short,223,Edison Municipal Animal Shelter,14,No
NELSON - Sweet Boy,4,0,Young,Tuxedo & Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Curious, Funny, Athletic, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$100.00,,Short,241,Edison Municipal Animal Shelter,14,No
SCRABBLE - Sweetie,0,0,Kitten,Domestic Short Hair & Tabby Mix,Tabby (Brown / Chocolate),Small,Female,"Friendly, Gentle, Affectionate, Quiet, Funny, Independent, Curious",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$99.98,,Short,350,Edison Municipal Animal Shelter,14,No
BLACK JACK - Adorable Girl!,3,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Female,"Friendly, Gentle, Playful, Smart, Curious, Independent, Funny, Dignified",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$100.00,,Short,353,Edison Municipal Animal Shelter,14,No
Double Bubble - Sweet and Shy Boy,2,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Friendly, Gentle, Playful, Smart, Curious, Independent, Funny, Athletic",,Yes,"Spayed / neutered, special needs.",Other cats.,,,Short,355,Edison Municipal Animal Shelter,14,No
JESSUP - Very Loving Boy,2,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Gentle, Loyal, Playful, Smart, Curious, Loves kisses, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",$99.97,,Short,355,Edison Municipal Animal Shelter,14,No
PIPER - Shy and Sweet!,0,0,Adult,Domestic Short Hair,Black,Medium,Female,"Friendly, Gentle, Independent, Quiet, Dignified, Couch potato",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,235,Edison Municipal Animal Shelter,14,No
PARSNIP - Quiet Boy!,0,0,Adult,Tabby & Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Large,Male,"Gentle, Independent, Quiet, Dignified, Couch potato",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,"Dogs, children.",Short,204,Edison Municipal Animal Shelter,14,No
Andy,0,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Loyal, Playful, Gentle",,Yes,Vaccinations up to date.,,,,Short,80,Kat Connection,14,No
Ashley,0,0,Kitten,Russian Blue Mix,Gray / Blue / Silver,Medium,Female,"Friendly, Affectionate, Loyal, Playful, Gentle",,Yes,Vaccinations up to date.,,,,Short,75,Kat Connection,14,No
Dillon,0,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Affectionate, Loyal, Playful, Gentle",,Yes,Vaccinations up to date.,,,,Short,78,Kat Connection,14,No
Jasper,0,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Loyal, Playful, Gentle",,Yes,Vaccinations up to date.,,,,Short,76,Kat Connection,14,No
Noah,0,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Loyal, Playful, Gentle",,Yes,Vaccinations up to date.,,,,Short,76,Kat Connection,14,No
